"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Max Dell'Orco","2092","0","Italy","IT","7064","5","38","48","669","28","232","1","8","1019","35","2","30787"
"2","Gustavo Ariel","1845","0","Brazil","BR","7588","4","86","105","591","37","730","1","8","2116","37","5","114405"
"3","Artem Grabow","1769","0","Central-Eastern Europe","RU","6104","10","24","54","32","2","502","1","8","1312","0","9","138514"
"4","Pablo Araujo3","1763","0","Iberia","ES","7829","4","60","73","277","16","560","1","8","1514","12","4","308713"
"5","Neto Nascimento","1761","0","Brazil","BR","5460","10","53","116","210","11","837","1","8","2371","8","7","115035"
"6","Jan Nosek","1678","0","Central-Eastern Europe","CZ","5458","11","11","32","13","1","252","1","8","600","0","10","357338"
"7","Bruno Asturi","1662","0","Hispanoamérica","AR","7029","4","50","60","577","28","403","1","8","1329","18","3","97389"
"8","Nico Carnemolla","1630","0","DE-AT-CH","DE","5556","7","20","35","297","6","133","1","8","1021","8","7","574963"
"9","Wendel Parra","1619","0","Brazil","BR","4957","13","22","63","78","3","449","1","8","1334","3","8","113203"
"10","Daniel Modolon","1604","0","Brazil","BR","5185","8","20","39","116","5","337","1","8","890","5","6","251459"
"11","Gaël VALERO","1595","0","France","FR","6504","7","20","38","130","5","365","1","8","766","6","8","393663"
"12","Gerald Chevalier","1595","0","France","FR","5761","8","35","70","82","4","446","1","8","1512","3","8","209356"
"13","Daniel Cruz","1578","0","Iberia","HK","5217","11","21","53","168","6","293","1","8","1093","6","7","141027"
"14","Caio Vinicius Gaspar","1553","0","Brazil","BR","6081","7","40","71","227","8","526","1","8","1587","15","5","333655"
"15","Juan Bustamante","1514","0","Iberia","CO","6283","7","47","69","173","8","636","1","7","1517","8","6","508878"
"16","Bruno do Carmo","1492","0","Brazil","BR","4872","10","16","34","106","5","319","1","8","661","3","8","72581"
"17","Maxi Jarruz","1487","0","Hispanoamérica","AR","5772","11","17","63","57","1","630","1","8","1219","5","8","298344"
"18","Tobi Soriano","1479","0","Hispanoamérica","AR","8251","3","58","65","803","39","313","1","6","1374","33","2","266382"
"19","Pedro Picanco","1469","0","Brazil","BR","4671","11","28","60","76","2","412","1","8","1011","6","6","518026"
"20","Maxime Tillyneuve","1462","0","Canada","CA","5930","7","81","156","480","23","1234","1","8","3315","23","7","280730"
"21","Luiz Gonzaga Filho","1457","0","Brazil","BR","4665","11","8","36","17","1","196","1","8","895","0","14","78067"
"22","Gumercindo Cabral","1449","0","Brazil","BR","3620","13","22","90","9","0","646","2","8","1729","2","9","117232"
"23","Hendrik Augustin","1441","0","DE-AT-CH","DE","5605","9","11","29","23","2","231","1","8","687","1","8","223281"
"24","Fernando M Gomez","1438","0","Hispanoamérica","AR","4570","11","41","75","230","9","573","1","8","1349","9","6","471240"
"25","Thomas Hinss","1420","0","Australia/NZ","AU","4824","11","12","42","0","0","259","1","8","950","0","13","233261"
"26","Marius Holee-Tikes","1403","0","DE-AT-CH","DE","3582","13","6","23","24","1","140","2","8","510","2","10","402884"
"27","Aurélien Verchère","1400","0","France","FR","4399","13","4","30","9","1","159","1","8","569","0","12","230519"
"28","Dmitry Kofanov","1397","0","Central-Eastern Europe","RU","6575","9","11","24","53","1","287","1","8","647","2","7","387602"
"29","Tyson Meier","1385","0","Midwest","US","4095","13","28","105","111","5","649","1","8","1887","2","15","62396"
"30","Daniel Hake","1378","0","DE-AT-CH","DE","4100","13","5","33","6","0","165","1","8","616","1","12","31859"
"31","Patrick Richter","1377","0","DE-AT-CH","DE","5943","9","11","39","2","1","271","1","8","767","0","10","49498"
"32","Sergio Junior","1375","0","Iberia","PT","4645","9","4","10","4","0","79","1","8","257","0","6","100185"
"33","Will Baraviera","1369","0","Brazil","BR","4755","13","49","131","411","19","991","2","8","2316","25","8","282099"
"34","Alex Dunne","1367","0","UK and I","IE","5798","7","44","70","603","19","708","1","6","2072","15","5","474984"
"35","Bruno F Carneiro","1361","0","West","US","7044","5","28","40","264","10","280","1","8","998","9","7","209334"
"36","Christian Ortega","1360","0","Iberia","ES","4058","12","18","58","43","2","330","1","8","1151","0","16","150205"
"37","Ben Kelly-McAuley","1360","0","UK and I","GB","5219","11","6","21","15","0","100","1","8","451","0","10","121083"
"38","Clement Beuzelin","1353","0","France","FR","3712","14","5","30","4","0","296","2","8","695","0","12","509193"
"39","Carlos Morera de la Chica","1349","0","Iberia","ES","4625","13","14","82","20","2","523","1","8","1909","1","13","552475"
"40","Willem Karsten","1344","0","Benelux","NL","4124","11","17","61","49","2","488","2","8","1150","2","12","363113"
"41","Joakim Stenström","1335","0","Scandinavia","SE","3990","14","10","82","3","0","462","2","8","1664","0","14","441601"
"42","Fabio Unverdruss","1319","0","DE-AT-CH","DE","5684","10","9","30","78","3","286","1","7","621","3","9","322405"
"43","Mauricio Zaffari","1309","0","Brazil","BR","3330","9","12","24","3","0","105","2","8","641","0","8","92017"
"44","Florian von Minckwitz","1309","0","DE-AT-CH","DE","5219","12","2","22","0","0","97","1","8","428","0","13","43658"
"45","Diego Morales3","1292","0","California Club","US","4737","7","26","49","155","5","482","1","8","1071","9","7","371890"
"46","Dominik Pusch","1280","0","DE-AT-CH","AT","6279","8","15","34","33","2","233","1","7","691","1","8","170197"
"47","Pablo Vicente","1280","0","Iberia","AD","5387","8","17","33","22","0","243","1","7","702","0","8","284949"
