"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Juan Bustamante","1692","0","Iberia","CO","6283","6","38","60","147","9","310","1","8","722","11","5","508878"
"2","Norbert Sulzer","1614","0","DE-AT-CH","AT","7522","5","15","19","24","3","48","1","8","185","4","3","36322"
"3","Joaquin Melo","1605","0","Hispanoamérica","AR","6602","5","53","71","128","13","354","1","8","741","11","5","500548"
"4","Jaume Dalmases Torres","1569","0","Iberia","ES","4495","9","22","46","81","5","257","1","8","452","6","5","209451"
"5","Maxi Jarruz","1561","0","Hispanoamérica","AR","5813","6","45","74","122","10","548","1","8","768","9","5","298344"
"6","Bruno do Carmo","1559","0","Brazil","BR","4872","8","25","42","106","5","276","1","8","411","10","5","72581"
"7","Nicolás Rubilar","1528","0","Hispanoamérica","CL","7310","3","52","62","438","38","210","1","7","762","42","2","347135"
"8","Jaidyn J Ladic","1524","0","Australia/NZ","AU","6722","4","37","48","232","19","348","1","8","593","19","3","400723"
"9","David Toth","1508","0","Central-Eastern Europe","HU","7727","3","28","32","108","16","234","1","8","278","13","5","155293"
"10","Bruno F Carneiro","1426","0","West","US","7042","4","48","64","107","12","339","1","8","667","7","4","209334"
"11","Luiz Gonzaga Filho","1402","0","Brazil","BR","4665","8","22","52","35","1","271","1","8","704","3","8","78067"
"12","Ever Franetovich","1398","0","Hispanoamérica","AR","5060","6","25","39","58","7","282","1","8","407","5","6","293195"
"13","Gerardo Babio Ramos","1396","0","Iberia","ES","4611","6","21","36","43","2","122","1","8","413","2","6","79495"
"14","Arthur Camelot Näsi","1368","0","Finland","FI","5064","5","8","11","22","2","18","1","8","132","1","5","363751"
"15","Alex Dunne","1346","0","UK and I","IE","5839","5","50","66","547","28","447","1","7","1008","30","4","474984"
"16","Ernesto Romero","1346","0","Iberia","GI","4265","9","8","20","2","0","82","1","8","227","1","7","198746"
"17","Alvar Gomez","1335","0","Iberia","ES","4050","9","26","75","28","2","335","2","8","783","3","10","510691"
"18","Rogelio Gonzalez","1332","0","Iberia","ES","3457","9","29","76","89","7","489","3","8","806","5","8","259975"
"19","Michele Soncini","1324","0","Italy","IT","4370","7","4","9","11","1","42","1","8","111","0","7","325235"
"20","Pierre B Urbizu","1319","0","France","FR","3829","9","8","28","14","1","143","1","8","302","1","7","58854"
"21","Tarcilo de Assis","1315","0","Brazil","BR","3867","9","23","65","23","2","386","1","8","723","2","8","54423"
"22","Mitchell McLeod","1302","0","Australia/NZ","AU","4389","7","42","69","85","9","278","1","8","691","6","7","19885"
"23","Nicki Thiim","1299","0","Scandinavia","DE","3215","5","11","17","30","3","107","1","8","171","1","7","108036"
"24","Anton Obernosterer","1288","0","DE-AT-CH","AT","4224","7","6","16","21","1","52","1","8","151","2","7","441725"
"25","Antonio Gagliasso","1271","0","UK and I","GB","3952","9","15","59","29","2","275","2","8","719","2","8","602865"
"26","Ulrich Steffen","1263","0","DE-AT-CH","DE","6030","4","15","19","75","6","143","1","6","224","8","4","577128"
"27","Ray Cobbing","1261","0","UK and I","GB","3321","8","10","23","34","4","67","2","8","238","4","6","443604"
"28","Petr ?t?pan?ík","1254","0","Central-Eastern Europe","CZ","4224","9","7","24","0","0","113","1","8","251","0","8","411872"
"29","Jackson Souslin Harlow","1252","0","Australia/NZ","AU","8956","2","69","75","764","63","293","1","6","886","68","1","189528"
"30","Edwin Vallarino","1249","0","Hispanoamérica","PA","4931","7","29","62","100","6","277","1","8","757","5","6","256931"
"31","Christian Ortega","1246","0","Iberia","ES","4144","9","9","39","27","1","180","1","8","426","0","10","150205"
"32","Jeroen van den Berg","1242","0","Benelux","NL","3083","8","9","20","59","4","106","2","8","220","4","6","176916"
"33","Thorsten Ulrich2","1238","0","DE-AT-CH","DE","3576","9","7","25","12","2","163","1","8","239","0","9","451086"
"34","Jonathan Alvarez","1232","0","Iberia","ES","5927","4","16","21","54","3","72","1","6","239","6","3","195225"
"35","Tano Benotti","1227","0","Hispanoamérica","AR","4237","10","15","55","36","3","271","1","8","579","4","8","254026"
"36","Jarmo Seisko","1227","0","Finland","FI","3115","7","13","30","61","4","150","3","8","338","5","6","395510"
"37","Renso Tejada Gomez","1225","0","Hispanoamérica","DO","4475","6","22","37","36","4","177","1","8","459","1","5","204495"
"38","Gumercindo Cabral","1221","0","Brazil","BR","3546","10","14","48","36","3","214","2","8","501","4","9","117232"
"39","Andrea Bristot","1218","0","Italy","IT","5005","8","9","19","14","2","110","1","8","206","1","7","512281"
"40","Andre Castro","1207","0","New York","US","4607","8","10","22","32","3","140","1","7","280","1","8","83741"
"41","Jerome Sauve","1201","0","France","FR","3072","10","16","37","75","5","164","2","8","344","7","5","510508"
"42","Luke McKeown","1192","0","UK and I","GB","6338","4","14","17","65","6","83","1","5","210","7","3","487300"
"43","Felix Schuster","1190","0","DE-AT-CH","DE","3033","8","20","47","36","5","373","3","8","468","6","7","226968"
"44","Salman Owega","1183","0","DE-AT-CH","DE","2838","9","13","33","23","3","308","2","8","341","1","10","313423"
"45","Robert Cori","1170","0","Australia/NZ","AU","4545","10","14","49","3","0","379","1","8","594","1","10","75538"
"46","Cédric Gesmier","1170","0","France","FR","4668","9","5","12","0","0","81","1","8","128","0","12","247993"
"47","Wendel Parra","1163","0","Brazil","BR","4957","7","10","19","10","1","99","1","8","255","1","7","113203"
"48","Fernando M Gomez","1145","0","Hispanoamérica","AR","4570","9","20","45","101","9","304","1","8","432","9","7","471240"
"49","William Voß","1144","0","DE-AT-CH","DE","4504","7","3","10","0","0","41","1","8","107","0","11","403332"
"50","Pierpaolo Reppucci","1143","0","Italy","IT","3447","8","12","39","27","3","166","2","8","504","3","7","392134"
"51","David PJ Sampson","1142","0","Carolina","US","3640","8","5","23","0","0","84","2","8","297","1","9","393940"
"52","Demien Hugenschmidt","1141","0","DE-AT-CH","DE","2850","8","20","47","105","8","248","3","8","523","4","9","431473"
"53","Maximilian Zöhrer","1140","0","DE-AT-CH","AT","4307","5","7","10","0","0","14","1","8","125","0","6","491808"
"54","Juanma Frias Gamez","1139","0","Iberia","AD","3866","7","4","12","5","1","72","1","8","110","1","8","227966"
"55","Matt Caruana","1132","0","UK and I","GB","4675","7","33","53","40","3","382","1","6","619","0","6","487540"
"56","Aleksey Seleznev","1132","0","Central-Eastern Europe","UA","3105","10","10","43","0","0","320","1","8","438","1","11","270383"
"57","Jan Nosek","1122","0","Central-Eastern Europe","CZ","5458","7","8","15","0","0","60","1","6","143","0","8","357338"
"58","Gerald Chevalier","1120","0","France","FR","5761","6","9","13","61","4","46","1","8","157","5","5","209356"
"59","Marcin Gadzinski","1118","0","Central-Eastern Europe","PL","3348","10","7","29","7","1","128","1","8","267","0","9","186604"
"60","Ondrej Kovarcik","1115","0","Central-Eastern Europe","CZ","4619","8","7","13","0","0","91","1","8","173","0","10","395566"
"61","Borja Zazo","1114","0","Iberia","ES","3254","9","2","23","0","0","154","2","8","278","0","12","256046"
"62","Fernando Irigoyen","1110","0","Hispanoamérica","AR","2856","8","9","26","33","3","88","2","8","320","2","12","414989"
"63","Ulas Ozyildirim","1104","0","International Club","TR","6166","5","29","40","100","8","257","1","6","468","11","4","428039"
"64","Andrew Roos","1094","0","Central-Eastern Europe","HU","5224","7","4","8","24","1","50","1","8","97","0","11","47569"
"65","Sören Kolodziej","1094","0","DE-AT-CH","DE","3803","8","6","14","9","0","85","1","8","135","1","10","290852"
"66","Daniel Alvaréz","1094","0","Iberia","ES","3507","11","4","13","4","0","81","2","8","118","1","10","417812"
"67","Andres Rau","1092","0","Hispanoamérica","AR","3806","7","11","20","6","1","120","2","8","198","0","6","138997"
"68","Renato Araujo","1090","0","Brazil","BR","2827","9","38","80","233","19","368","3","8","739","24","6","323325"
"69","Daniel Dumitru Sirbu","1090","0","Central-Eastern Europe","RO","4003","9","16","38","13","1","266","1","7","353","2","6","30221"
"70","Stephane Beck","1086","0","France","FR","3028","7","6","11","3","0","41","2","8","125","1","7","177136"
"71","Christoph Espeter","1085","0","DE-AT-CH","DE","2705","8","11","36","9","1","193","3","8","437","0","11","20672"
"72","Gustavo Foizer","1082","0","Brazil","CA","3012","10","12","40","15","1","259","2","8","408","1","8","555693"
"73","Kim Le","1079","0","Australia/NZ","AU","3535","11","15","89","26","2","531","1","8","996","3","10","490603"
"74","Denis Hanly Jr","1077","0","UK and I","IE","3155","8","12","33","43","3","151","2","8","355","7","9","396685"
"75","William Trajano","1075","0","Brazil","BR","3503","8","16","37","10","1","206","2","8","399","2","8","47085"
"76","Lorenz Stumpp","1075","0","DE-AT-CH","CH","3965","9","2","9","0","0","51","1","8","112","0","11","550106"
"77","Dimas Ometto Junior","1064","0","Brazil","BR","2953","9","7","21","29","2","74","2","8","223","3","8","247583"
"78","Manu Rey O´Largo","1062","0","Iberia","ES","7002","4","7","10","22","2","64","1","5","115","3","3","220463"
"79","Gonzalo Perone","1060","0","Hispanoamérica","AR","3045","7","5","10","0","0","58","2","8","113","0","9","347413"
"80","Edu vila","1060","0","Iberia","ES","3079","11","3","19","0","0","69","2","8","168","0","11","235872"
"81","Nemeth Gabor","1059","0","Central-Eastern Europe","HU","3332","10","2","17","0","0","107","2","8","157","0","11","373068"
"82","Gün Tasdelen","1057","0","International Club","TR","7068","3","20","24","98","13","145","1","5","191","14","3","421964"
"83","Tom Ostermann","1056","0","DE-AT-CH","DE","4482","8","10","29","1","1","141","2","6","312","0","10","561734"
"84","Alex Puentedura","1051","0","Iberia","ES","5041","9","18","52","0","0","245","1","7","546","0","9","304562"
"85","Roberto Lusa","1048","0","Italy","IT","3040","10","8","37","9","0","188","2","8","406","0","11","459202"
"86","Alejandro Bentos","1043","0","Iberia","ES","3187","12","7","53","7","1","202","2","8","608","0","13","158285"
"87","Alejandro de la Fuente","1035","0","Iberia","ES","4399","10","8","27","0","0","154","1","7","282","0","10","257385"
"88","Alexander Davidson","1035","0","UK and I","GB","4469","6","49","73","344","20","437","1","5","1084","16","4","472038"
"89","Sebastian Uber","1034","0","DE-AT-CH","DE","2940","10","8","38","15","1","173","2","8","419","2","9","460359"
"90","Hyukjin Kwon","1030","0","Asia","KR","4081","7","10","21","18","1","103","2","8","280","2","7","581167"
"91","Kieran Blacklock","1021","0","UK and I","GB","3341","8","7","16","0","0","90","2","8","167","0","8","266473"
"92","Chris T Shorter","1019","0","Africa/South Africa","ZA","5452","5","9","14","27","3","80","1","7","128","2","5","79312"
"93","Jimmy Vaneyck","1016","0","Benelux","BE","3538","10","4","39","0","0","155","2","8","564","0","12","360688"
"94","Emilio J Perez","1015","0","Iberia","ES","2671","7","9","21","36","3","49","3","8","237","3","8","275457"
"95","Fabian T Meyer","1014","0","DE-AT-CH","DE","3508","10","6","25","25","2","127","2","8","249","4","8","420832"
"96","Ian T Smith","1014","0","Carolina","US","3129","9","5","19","0","0","78","2","8","198","0","12","100643"
"97","Greg Profeta","1010","0","New Jersey","US","3858","11","2","19","0","0","85","1","8","212","0","12","485045"
"98","Christian Szymczak","1008","0","California Club","US","5082","5","11","16","77","6","62","1","6","206","5","4","16891"
"99","Kuame Eric","1007","0","Canada","CA","2318","11","16","62","22","4","381","2","8","561","3","11","392978"
"100","Ville Pennanen","1004","0","Finland","FI","3011","11","8","38","75","3","260","3","8","382","4","9","449683"
"101","Kenny Bairolle","1000","0","Benelux","BE","2890","9","9","26","4","1","138","2","8","245","1","11","162350"
"102","Alexander Ho","999","0","Canada","CA","3633","7","8","25","0","0","127","1","8","269","0","9","107969"
"103","Juan Parada Jr","998","0","Iberia","ES","3646","11","3","12","0","0","66","1","8","121","0","9","230804"
"104","Niels Baltus","994","0","Benelux","NL","3086","9","5","17","0","0","75","2","8","164","1","8","406082"
"105","Sergio Durelli","994","0","Hispanoamérica","AR","4950","7","3","8","0","0","23","1","8","82","0","6","61931"
"106","Andrea Tonelli","992","0","Italy","IT","3302","10","9","37","32","2","140","2","7","411","1","10","419335"
"107","ARmin Schupfer","983","0","DE-AT-CH","AT","2935","8","5","14","0","0","59","2","8","183","0","10","251532"
"108","Florian Nägele","982","0","DE-AT-CH","DE","2772","8","7","21","2","1","91","3","8","252","0","10","382881"
"109","TaK Kaneko","981","0","Japan","JP","3275","11","3","23","0","0","112","2","8","195","0","12","307962"
"110","Sven Eckhardt","980","0","DE-AT-CH","DE","4662","7","7","13","9","1","66","1","6","126","1","4","17520"
"111","Fernanndo Rodrigues","977","0","Brazil","BR","3873","8","7","15","0","0","76","2","8","163","0","8","386052"
"112","Krzysztof Badura","971","0","Central-Eastern Europe","PL","2805","9","3","15","10","1","68","2","8","182","1","11","50667"
"113","Jeremy Bonsaudo","971","0","France","FR","3057","9","2","14","0","0","54","2","8","168","0","11","342758"
"114","Alessandro Izzo","969","0","Italy","IT","5167","7","8","17","0","0","87","1","8","198","1","8","445397"
"115","Michael Hornby","967","0","UK and I","GB","2542","11","4","17","25","1","73","2","8","181","1","9","59067"
"116","Bautista Damiani","966","0","Hispanoamérica","AR","3813","6","5","10","18","2","45","2","5","105","1","6","377773"
"117","Michael Schaller","963","0","DE-AT-CH","CH","3004","10","7","32","6","0","173","2","8","372","1","10","44888"
"118","Guillermo Tocalli","962","0","Hispanoamérica","AR","2774","11","5","24","11","1","100","2","8","275","1","12","415078"
"119","Andrew Baranowski","958","0","UK and I","GB","2813","11","6","39","0","0","205","2","8","361","0","14","410152"
"120","Leonel Pernia","957","0","Hispanoamérica","AR","3740","10","6","19","2","0","158","2","7","186","0","10","393908"
"121","Vicente Fernández Martín","956","0","Iberia","ES","3805","8","5","14","0","0","75","2","7","122","0","10","362693"
"122","Pepe Fuentes","955","0","Iberia","ES","3845","10","1","12","0","0","54","1","8","135","0","10","466012"
"123","Peter Thoma","951","0","DE-AT-CH","DE","3777","5","4","7","0","0","27","2","7","96","0","6","429303"
"124","Fernando Moreno","950","0","Iberia","ES","3507","9","10","34","3","0","213","2","6","339","0","8","356483"
"125","Mika LeMasurier","944","0","Australia/NZ","AU","4121","6","25","34","46","3","153","2","7","335","5","5","452809"
"126","Alessandro Dalledonne","943","0","Italy","IT","3861","8","11","23","18","3","95","2","8","214","2","7","176188"
"127","Matt Distill","942","0","Australia/NZ","AU","2013","8","13","26","106","8","103","4","8","253","7","5","510123"
"128","Andreas Hahn","942","0","DE-AT-CH","DE","2566","10","8","25","8","0","132","3","8","277","1","9","560700"
"129","Raul Monraba","942","0","Iberia","ES","2798","11","6","18","0","0","106","2","8","178","0","9","280146"
"130","Stefan Wernstedt","942","0","DE-AT-CH","DE","4568","10","2","10","0","0","21","1","8","118","0","6","323969"
"131","Markus Groß","941","0","DE-AT-CH","DE","2992","9","7","21","0","0","64","2","8","214","0","9","378222"
"132","Jorge Aviles Domenech","940","0","Iberia","ES","4800","6","4","8","1","0","45","1","6","124","1","6","346770"
"133","Dennis Ney","938","0","DE-AT-CH","DE","2644","7","6","15","12","1","44","2","8","164","1","9","394896"
"134","Fabio Bertocchi","937","0","DE-AT-CH","CH","2585","9","34","90","173","11","453","4","8","904","10","7","520355"
"135","Hendrik Tries","932","0","DE-AT-CH","DE","2590","7","11","23","24","1","81","3","8","271","0","8","488768"
"136","Michael Stoegbauer","926","0","Northwest","US","4218","7","21","36","46","4","230","1","5","329","1","7","335279"
"137","Tomasz Hamryszak","926","0","Canada","CA","2569","9","5","32","0","0","163","3","8","363","0","11","275898"
"138","Mats-Thorge Huthsfeldt","925","0","DE-AT-CH","DE","6497","5","8","10","29","2","63","1","5","104","3","3","225176"
"139","Raian Norbert","925","0","Hispanoamérica","AR","5513","8","5","12","14","2","71","1","5","113","1","6","455636"
"140","Alfonso Apicella","924","0","Italy","IT","2725","8","5","17","3","0","92","3","8","188","0","8","191625"
"141","Edison Rojas Hernandez","922","0","Hispanoamérica","CO","2752","9","12","35","35","2","193","2","8","311","4","8","272569"
"142","Cesare Ardoino","921","0","France","FR","2076","10","23","98","79","3","309","2","8","1051","5","9","430966"
"143","Tony Loesch","920","0","DE-AT-CH","DE","2357","11","14","66","0","0","244","2","8","662","0","10","230047"
"144","Alessandro Salaris","918","0","Italy","IT","2285","10","14","40","16","1","225","3","8","379","5","8","557921"
"145","Dorian Lelievre","916","0","France","FR","3467","10","3","10","0","0","61","2","8","104","0","11","246668"
"146","Daniel Fernandez2","914","0","Iberia","ES","2975","9","7","20","4","0","84","2","8","205","1","10","361509"
"147","Tyler Daniels2","911","0","Texas","US","2996","7","11","22","44","5","101","3","8","257","2","6","581176"
"148","Leon Blum","910","0","DE-AT-CH","DE","3684","11","2","9","0","0","57","1","8","93","0","11","329122"
"149","Philipp Plöhn","908","0","DE-AT-CH","DE","3713","9","3","9","0","0","37","1","8","98","0","11","367838"
"150","Alexander Kessler","907","0","DE-AT-CH","DE","2420","10","7","38","15","1","305","2","8","453","1","11","504520"
"151","David Ditschler","906","0","DE-AT-CH","DE","2778","9","8","25","19","1","103","3","8","259","2","9","502693"
"152","Thomas Bidanchon","906","0","France","FR","3865","12","1","12","0","0","54","1","8","114","0","11","385834"
"153","Agustin Bowen","904","0","Hispanoamérica","AR","4311","8","25","58","22","2","297","1","5","596","3","6","503146"
"154","Michael Marktl","904","0","DE-AT-CH","AT","3237","11","0","17","0","0","95","2","7","173","0","10","336685"
"155","Michael Durhold","903","0","DE-AT-CH","DE","2171","9","6","17","24","1","47","3","8","184","0","10","459467"
"156","cristobal Lopez castro","896","0","Iberia","ES","2140","9","10","25","38","5","125","3","8","254","2","10","410743"
"157","Victor Barris","896","0","Iberia","ES","3044","9","4","11","0","0","58","2","8","106","0","10","48049"
"158","Jairo Via","895","0","Iberia","ES","5081","7","12","21","15","1","74","1","5","185","4","6","67781"
"159","Jon Rodríguez II","894","0","Iberia","ES","5199","8","17","32","27","2","176","1","5","300","5","6","614703"
"160","Yani Stevenheydens","893","0","Benelux","BE","5547","7","11","18","14","1","186","1","5","224","0","6","468829"
"161","Justin Starnes","892","0","Northwest","US","1879","9","19","59","99","8","386","4","8","628","8","8","435807"
"162","Lars Kofod","891","0","Scandinavia","DK","2592","11","5","22","0","0","79","2","8","244","0","10","538245"
"163","Tobias Grundkötter","890","0","DE-AT-CH","DE","4838","7","12","20","38","3","117","1","5","210","2","5","492548"
"164","Mario Vartanian","886","0","Australia/NZ","AU","4629","7","13","21","14","1","133","1","6","255","1","8","417451"
"165","Mika Kuiri","886","0","Finland","FI","2855","8","5","12","0","0","28","2","8","127","0","10","491636"
"166","Robert Noecker","884","0","Michigan","US","2238","9","57","180","200","17","634","4","8","1887","22","8","478378"
"167","Jochen Maier","883","0","DE-AT-CH","DE","2018","9","10","29","57","4","115","3","8","314","7","4","487400"
"168","Kevin Volk","882","0","DE-AT-CH","DE","5331","5","16","21","3","1","114","1","5","247","4","4","242900"
"169","Claudio Mack","881","0","DE-AT-CH","DE","4847","8","8","15","13","1","111","1","5","141","3","5","473011"
